Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en largo,2026-04-01 02:45,Scripted Exit All,0.0063545,1,79275,156.25,0.20,175,0.22,-137.5,-0.17,156.25,1.56,43
1,Entrada en largo,2026-03-31 23:10,Scripted Long,0.006342,1,79275,156.25,0.20,175,0.22,-137.5,-0.17,156.25,1.56,43
2,Salida en corto,2026-04-06 11:00,Scripted Exit All,0.006298,1,78762.5,37.5,0.05,137.5,0.17,-168.75,-0.21,193.75,1.94,312
2,Entrada en corto,2026-04-03 02:00,Scripted Short,0.006301,1,78762.5,37.5,0.05,137.5,0.17,-168.75,-0.21,193.75,1.94,312
3,Salida en corto,2026-04-07 07:10,Scripted Exit All,0.006294,1,78700,25,0.03,62.5,0.08,-156.25,-0.20,218.75,2.19,71
3,Entrada en corto,2026-04-07 01:15,Scripted Short,0.006296,1,78700,25,0.03,62.5,0.08,-156.25,-0.20,218.75,2.19,71
4,Salida en corto,2026-04-12 18:05,Scripted Exit All,0.0062925,1,78687.5,31.25,0.04,62.5,0.08,-937.5,-1.19,250,2.50,856
4,Entrada en corto,2026-04-07 14:45,Scripted Short,0.006295,1,78687.5,31.25,0.04,62.5,0.08,-937.5,-1.19,250,2.50,856
5,Salida en corto,2026-04-13 08:00,Scripted Exit All,0.0062895,1,78675,56.25,0.07,56.25,0.07,-81.25,-0.10,306.25,3.06,91
5,Entrada en corto,2026-04-13 00:25,Scripted Short,0.006294,1,78675,56.25,0.07,56.25,0.07,-81.25,-0.10,306.25,3.06,91
6,Salida en corto,2026-04-22 16:05,Scripted Exit All,0.006296,1,78712.5,12.5,0.02,68.75,0.09,-987.5,-1.25,318.75,3.19,1991
6,Entrada en corto,2026-04-13 11:10,Scripted Short,0.006297,1,78712.5,12.5,0.02,68.75,0.09,-987.5,-1.25,318.75,3.19,1991
7,Salida en corto,2026-04-23 13:10,Scripted Exit All,0.0062895,1,78662.5,43.75,0.06,43.75,0.06,-143.75,-0.18,362.5,3.62,47
7,Entrada en corto,2026-04-23 09:15,Scripted Short,0.006293,1,78662.5,43.75,0.06,43.75,0.06,-143.75,-0.18,362.5,3.62,47
