Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en corto,2026-04-01 21:30,Scripted Exit All,6570.5,1,330550,2025,0.61,2237.5,0.68,-1025,-0.31,2025,20.25,5
1,Entrada en corto,2026-04-01 21:05,Scripted Short,6611,1,330550,2025,0.61,2237.5,0.68,-1025,-0.31,2025,20.25,5
2,Salida en corto,2026-04-06 09:35,Scripted Long,6636.5,1,331187.5,-637.5,-0.19,212.5,0.06,-675,-0.20,1387.5,13.88,6
2,Entrada en corto,2026-04-06 09:05,Scripted Short,6623.75,1,331187.5,-637.5,-0.19,212.5,0.06,-675,-0.20,1387.5,13.88,6
3,Salida en largo,2026-04-06 12:40,Scripted Exit All,6644.75,1,331825,412.5,0.12,1225,0.37,-937.5,-0.28,1800,18.00,37
3,Entrada en largo,2026-04-06 09:35,Scripted Long,6636.5,1,331825,412.5,0.12,1225,0.37,-937.5,-0.28,1800,18.00,37
4,Salida en largo,2026-04-07 16:15,Scripted Exit All,6663,1,331725,1425,0.43,1512.5,0.46,-625,-0.19,3225,32.25,11
4,Entrada en largo,2026-04-07 15:20,Scripted Long,6634.5,1,331725,1425,0.43,1512.5,0.46,-625,-0.19,3225,32.25,11
5,Salida en corto,2026-04-15 06:00,Scripted Exit All,7000.25,1,350287.5,275,0.08,325,0.09,0,0.00,3500,35.00,11
5,Entrada en corto,2026-04-15 05:05,Scripted Short,7005.75,1,350287.5,275,0.08,325,0.09,0,0.00,3500,35.00,11
6,Salida en corto,2026-04-16 10:20,Scripted Exit All,7050.25,1,353350,837.5,0.24,1025,0.29,-350,-0.10,4337.5,43.38,46
6,Entrada en corto,2026-04-16 06:30,Scripted Short,7067,1,353350,837.5,0.24,1025,0.29,-350,-0.10,4337.5,43.38,46
