Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
1,Salida en corto,2026-03-31 07:10,Scripted Exit All,1.14995,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,75,0.75,46
1,Entrada en corto,2026-03-31 03:20,Scripted Short,1.15055,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,75,0.75,46
2,Salida en largo,2026-03-31 20:10,Scripted Exit All,1.16105,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,193.75,1.94,10
2,Entrada en largo,2026-03-31 19:20,Scripted Long,1.1601,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,193.75,1.94,10
3,Salida en largo,2026-04-01 01:30,Scripted Exit All,1.1611,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,312.5,3.13,9
3,Entrada en largo,2026-04-01 00:45,Scripted Long,1.16015,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,312.5,3.13,9
4,Salida en largo,2026-04-01 04:30,Scripted Exit All,1.16385,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,581.25,5.81,25
4,Entrada en largo,2026-04-01 02:25,Scripted Long,1.1617,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,581.25,5.81,25
5,Salida en largo,2026-04-01 07:55,Scripted Exit All,1.1645,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,706.25,7.06,19
5,Entrada en largo,2026-04-01 06:20,Scripted Long,1.1635,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,706.25,7.06,19
6,Salida en largo,2026-04-01 11:05,Scripted Exit All,1.16605,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,806.25,8.06,28
6,Entrada en largo,2026-04-01 08:45,Scripted Long,1.16525,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,806.25,8.06,28
