Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
25,Entrada en largo,2026-04-16 11:05,Scripted Long,7066.75,1,353337.5,900,0.25,1000,0.28,-112.5,-0.03,16250,162.50,13
26,Salida en largo,2026-04-16 16:40,Scripted Exit All,7078.75,1,353575,362.5,0.10,462.5,0.13,-200,-0.06,16612.5,166.13,19
26,Entrada en largo,2026-04-16 15:05,Scripted Long,7071.5,1,353575,362.5,0.10,462.5,0.13,-200,-0.06,16612.5,166.13,19
27,Salida en largo,2026-04-17 04:30,Scripted Exit All,7087.5,1,354037.5,337.5,0.10,362.5,0.10,-275,-0.08,16950,169.50,52
27,Entrada en largo,2026-04-17 00:10,Scripted Long,7080.75,1,354037.5,337.5,0.10,362.5,0.10,-275,-0.08,16950,169.50,52
28,Salida en largo,2026-04-20 14:40,Scripted Short,7139.5,1,358087.5,-1112.5,-0.31,225,0.06,-3837.5,-1.07,15837.5,158.38,264
28,Entrada en largo,2026-04-17 15:40,Scripted Long,7161.75,1,358087.5,-1112.5,-0.31,225,0.06,-3837.5,-1.07,15837.5,158.38,264
29,Salida en corto,2026-04-21 11:40,Scripted Exit All,7126.5,1,356975,650,0.18,1012.5,0.28,-2175,-0.61,16487.5,164.88,240
29,Entrada en corto,2026-04-20 14:40,Scripted Short,7139.5,1,356975,650,0.18,1012.5,0.28,-2175,-0.61,16487.5,164.88,240
30,Salida en corto,2026-04-22 01:00,Scripted Exit All,7130.25,1,356750,237.5,0.07,275,0.08,-400,-0.11,16725,167.25,50
30,Entrada en corto,2026-04-21 20:50,Scripted Short,7135,1,356750,237.5,0.07,275,0.08,-400,-0.11,16725,167.25,50
31,Salida en corto,2026-04-22 20:30,Scripted Long,7153.25,1,356962.5,-700,-0.20,1687.5,0.47,-1687.5,-0.47,16025,160.25,184
31,Entrada en corto,2026-04-22 04:10,Scripted Short,7139.25,1,356962.5,-700,-0.20,1687.5,0.47,-1687.5,-0.47,16025,160.25,184
32,Salida en largo,2026-04-23 08:15,Scripted Exit All,7164.5,1,357662.5,562.5,0.16,812.5,0.23,-1725,-0.48,16587.5,165.88,141
32,Entrada en largo,2026-04-22 20:30,Scripted Long,7153.25,1,357662.5,562.5,0.16,812.5,0.23,-1725,-0.48,16587.5,165.88,141
33,Salida en corto,2026-04-27 09:35,Scripted Long,7191.5,1,356587.5,-2987.5,-0.84,112.5,0.03,-3837.5,-1.08,13600,136.00,464
33,Entrada en corto,2026-04-23 16:55,Scripted Short,7131.75,1,356587.5,-2987.5,-0.84,112.5,0.03,-3837.5,-1.08,13600,136.00,464
34,Salida en largo,2026-04-27 13:10,Scripted Exit All,7197,1,359575,275,0.08,375,0.10,-725,-0.20,13875,138.75,43
34,Entrada en largo,2026-04-27 09:35,Scripted Long,7191.5,1,359575,275,0.08,375,0.10,-725,-0.20,13875,138.75,43
35,Salida en largo,2026-04-28 15:35,Scripted Short,7166.75,1,360525,-2187.5,-0.61,125,0.03,-3212.5,-0.89,11687.5,116.88,193
35,Entrada en largo,2026-04-27 23:30,Scripted Long,7210.5,1,360525,-2187.5,-0.61,125,0.03,-3212.5,-0.89,11687.5,116.88,193
36,Salida en corto,2026-04-29 04:30,Scripted Long,7175.5,1,358337.5,-437.5,-0.12,25,0.01,-1087.5,-0.30,11250,112.50,143
36,Entrada en corto,2026-04-28 15:35,Scripted Short,7166.75,1,358337.5,-437.5,-0.12,25,0.01,-1087.5,-0.30,11250,112.50,143
37,Salida en largo,2026-04-29 07:10,Scripted Short,7174.75,1,358775,-37.5,-0.01,275,0.08,-450,-0.13,11212.5,112.13,32
37,Entrada en largo,2026-04-29 04:30,Scripted Long,7175.5,1,358775,-37.5,-0.01,275,0.08,-450,-0.13,11212.5,112.13,32
38,Salida en corto,2026-04-29 08:35,Scripted Exit All,7163,1,358737.5,587.5,0.16,675,0.19,-262.5,-0.07,11800,118.00,17
38,Entrada en corto,2026-04-29 07:10,Scripted Short,7174.75,1,358737.5,587.5,0.16,675,0.19,-262.5,-0.07,11800,118.00,17
39,Salida en largo,2026-04-29 10:45,Scripted Exit All,7172,1,358075,525,0.15,687.5,0.19,-50,-0.01,12325,123.25,7
39,Entrada en largo,2026-04-29 10:10,Scripted Long,7161.5,1,358075,525,0.15,687.5,0.19,-50,-0.01,12325,123.25,7
40,Salida en corto,2026-05-01 13:25,Scripted Long,7279,1,362912.5,-1037.5,-0.29,62.5,0.02,-2125,-0.59,11287.5,112.87,56
40,Entrada en corto,2026-05-01 08:45,Scripted Short,7258.25,1,362912.5,-1037.5,-0.29,62.5,0.02,-2125,-0.59,11287.5,112.87,56
41,Salida en largo,2026-05-04 11:00,Scripted Short,7259,1,363950,-1000,-0.27,237.5,0.07,-3262.5,-0.90,10287.5,102.88,247
41,Entrada en largo,2026-05-01 13:25,Scripted Long,7279,1,363950,-1000,-0.27,237.5,0.07,-3262.5,-0.90,10287.5,102.88,247
42,Salida en corto,2026-05-04 11:25,Scripted Exit All,7226.5,1,362950,1625,0.45,1762.5,0.49,-262.5,-0.07,11912.5,119.12,5
42,Entrada en corto,2026-05-04 11:00,Scripted Short,7259,1,362950,1625,0.45,1762.5,0.49,-262.5,-0.07,11912.5,119.12,5
43,Salida en largo,2026-05-04 22:45,Scripted Exit All,7240,1,361625,375,0.10,425,0.12,-750,-0.21,12287.5,122.88,101
43,Entrada en largo,2026-05-04 13:20,Scripted Long,7232.5,1,361625,375,0.10,425,0.12,-750,-0.21,12287.5,122.88,101
44,Salida en largo,2026-05-06 10:40,Scripted Exit All,7362.25,1,367050,1062.5,0.29,1087.5,0.30,-475,-0.13,13350,133.50,13
44,Entrada en largo,2026-05-06 09:35,Scripted Long,7341,1,367050,1062.5,0.29,1087.5,0.30,-475,-0.13,13350,133.50,13
45,Salida en corto,2026-05-07 20:00,Scripted Long,7363,1,368212.5,62.5,0.02,1400,0.38,-2312.5,-0.63,13412.5,134.13,364
45,Entrada en corto,2026-05-06 11:40,Scripted Short,7364.25,1,368212.5,62.5,0.02,1400,0.38,-2312.5,-0.63,13412.5,134.13,364
46,Salida en largo,2026-05-07 21:15,Scripted Exit All,7377.25,1,368150,712.5,0.19,762.5,0.21,0,0.00,14125,141.25,15
46,Entrada en largo,2026-05-07 20:00,Scripted Long,7363,1,368150,712.5,0.19,762.5,0.21,0,0.00,14125,141.25,15
47,Salida en corto,2026-05-11 22:10,Scripted Long,7425.25,1,368537.5,-2725,-0.74,25,0.01,-4200,-1.14,11400,114.00,546
47,Entrada en corto,2026-05-07 22:40,Scripted Short,7370.75,1,368537.5,-2725,-0.74,25,0.01,-4200,-1.14,11400,114.00,546
48,Salida en largo,2026-05-12 16:00,Scripted Exit All,7428,1,371262.5,137.5,0.04,425,0.11,-3100,-0.83,11537.5,115.38,214
48,Entrada en largo,2026-05-11 22:10,Scripted Long,7425.25,1,371262.5,137.5,0.04,425,0.11,-3100,-0.83,11537.5,115.38,214
49,Salida en largo,2026-05-13 12:25,Scripted Exit All,7461.5,1,371637.5,1437.5,0.39,1550,0.42,-1687.5,-0.45,12975,129.75,37
49,Entrada en largo,2026-05-13 09:20,Scripted Long,7432.75,1,371637.5,1437.5,0.39,1550,0.42,-1687.5,-0.45,12975,129.75,37
50,Salida en corto,2026-05-15 02:25,Scripted Exit All,7465,1,373975,725,0.19,812.5,0.22,-3025,-0.81,13700,137.00,257
50,Entrada en corto,2026-05-14 04:00,Scripted Short,7479.5,1,373975,725,0.19,812.5,0.22,-3025,-0.81,13700,137.00,257
51,Salida en largo,2026-05-18 08:55,Scripted Exit All,7448.75,1,371375,1062.5,0.29,1287.5,0.35,-2625,-0.71,14762.5,147.63,178
51,Entrada en largo,2026-05-17 18:05,Scripted Long,7427.5,1,371375,1062.5,0.29,1287.5,0.35,-2625,-0.71,14762.5,147.63,178
52,Salida en corto,2026-05-18 14:10,Scripted Exit All,7395.75,1,371275,1487.5,0.40,2187.5,0.59,-1437.5,-0.39,16250,162.50,55
52,Entrada en corto,2026-05-18 09:35,Scripted Short,7425.5,1,371275,1487.5,0.40,2187.5,0.59,-1437.5,-0.39,16250,162.50,55
53,Salida en largo,2026-05-19 04:15,Scripted Short,7418.25,1,371212.5,-300,-0.08,437.5,0.12,-1637.5,-0.44,15950,159.50,78
53,Entrada en largo,2026-05-18 21:45,Scripted Long,7424.25,1,371212.5,-300,-0.08,437.5,0.12,-1637.5,-0.44,15950,159.50,78
54,Salida en corto,2026-05-19 05:20,Scripted Exit All,7401.25,1,370912.5,850,0.23,975,0.26,-112.5,-0.03,16800,168.00,13
54,Entrada en corto,2026-05-19 04:15,Scripted Short,7418.25,1,370912.5,850,0.23,975,0.26,-112.5,-0.03,16800,168.00,13
55,Salida en largo,2026-05-19 13:25,Scripted Exit All,7414.25,1,369900,812.5,0.22,862.5,0.23,-2187.5,-0.59,17612.5,176.13,89
55,Entrada en largo,2026-05-19 06:00,Scripted Long,7398,1,369900,812.5,0.22,862.5,0.23,-2187.5,-0.59,17612.5,176.13,89
56,Salida en corto,2026-05-19 14:45,Scripted Exit All,7397,1,370325,475,0.13,625,0.17,-262.5,-0.07,18087.5,180.88,11
56,Entrada en corto,2026-05-19 13:50,Scripted Short,7406.5,1,370325,475,0.13,625,0.17,-262.5,-0.07,18087.5,180.88,11
57,Salida en largo,2026-05-20 02:30,Scripted Exit All,7388,1,369087.5,312.5,0.08,387.5,0.10,-1287.5,-0.35,18400,184.00,55
57,Entrada en largo,2026-05-19 21:55,Scripted Long,7381.75,1,369087.5,312.5,0.08,387.5,0.10,-1287.5,-0.35,18400,184.00,55
58,Salida en largo,2026-05-21 04:15,Scripted Exit All,7461,1,371900,1150,0.31,1162.5,0.31,-25,-0.01,19550,195.50,5
58,Entrada en largo,2026-05-21 03:50,Scripted Long,7438,1,371900,1150,0.31,1162.5,0.31,-25,-0.01,19550,195.50,5
59,Salida en corto,2026-05-21 06:40,Scripted Exit All,7420.5,1,372700,1675,0.45,1687.5,0.45,-250,-0.07,21225,212.25,11
59,Entrada en corto,2026-05-21 05:45,Scripted Short,7454,1,372700,1675,0.45,1687.5,0.45,-250,-0.07,21225,212.25,11
60,Salida en largo,2026-05-21 13:50,Scripted Exit All,7475.75,1,371662.5,2125,0.57,2150,0.58,-1237.5,-0.33,23350,233.50,76
60,Entrada en largo,2026-05-21 07:30,Scripted Long,7433.25,1,371662.5,2125,0.57,2150,0.58,-1237.5,-0.33,23350,233.50,76
61,Salida en corto,2026-05-22 16:40,Scripted Exit All,7488,1,374812.5,412.5,0.11,875,0.23,-1387.5,-0.37,23762.5,237.63,79
61,Entrada en corto,2026-05-22 10:05,Scripted Short,7496.25,1,374812.5,412.5,0.11,875,0.23,-1387.5,-0.37,23762.5,237.63,79
62,Salida en corto,2026-05-26 09:35,Scripted Exit All,7528.25,1,377125,712.5,0.19,762.5,0.20,-300,-0.08,24475,244.75,31
62,Entrada en corto,2026-05-26 07:00,Scripted Short,7542.5,1,377125,712.5,0.19,762.5,0.20,-300,-0.08,24475,244.75,31
63,Salida en largo,2026-05-26 10:45,Scripted Exit All,7554.25,1,377000,712.5,0.19,762.5,0.20,-525,-0.14,25187.5,251.87,12
63,Entrada en largo,2026-05-26 09:45,Scripted Long,7540,1,377000,712.5,0.19,762.5,0.20,-525,-0.14,25187.5,251.87,12
64,Salida en corto,2026-05-26 11:50,Scripted Exit All,7524.25,1,377075,862.5,0.23,925,0.25,-100,-0.03,26050,260.50,9
64,Entrada en corto,2026-05-26 11:05,Scripted Short,7541.5,1,377075,862.5,0.23,925,0.25,-100,-0.03,26050,260.50,9
65,Salida en largo,2026-05-26 16:00,Scripted Exit All,7539.25,1,376550,412.5,0.11,575,0.15,-637.5,-0.17,26462.5,264.63,42
65,Entrada en largo,2026-05-26 12:30,Scripted Long,7531,1,376550,412.5,0.11,575,0.15,-637.5,-0.17,26462.5,264.63,42
66,Salida en largo,2026-05-27 16:40,Scripted Exit All,7549,1,377287.5,162.5,0.04,175,0.05,-1537.5,-0.41,26625,266.25,79
66,Entrada en largo,2026-05-27 10:05,Scripted Long,7545.75,1,377287.5,162.5,0.04,175,0.05,-1537.5,-0.41,26625,266.25,79
67,Salida en largo,2026-05-28 08:45,Scripted Exit All,7535.5,1,376225,550,0.15,575,0.15,-200,-0.05,27175,271.75,12
67,Entrada en largo,2026-05-28 07:45,Scripted Long,7524.5,1,376225,550,0.15,575,0.15,-200,-0.05,27175,271.75,12
68,Salida en corto,2026-05-28 22:10,Scripted Long,7580.5,1,376500,-2525,-0.67,237.5,0.06,-3125,-0.83,24650,246.50,139
68,Entrada en corto,2026-05-28 09:35,Scripted Short,7530,1,376500,-2525,-0.67,237.5,0.06,-3125,-0.83,24650,246.50,139
69,Salida en largo,2026-05-29 00:25,Scripted Exit All,7584,1,379025,175,0.05,200,0.05,-312.5,-0.08,24825,248.25,27
69,Entrada en largo,2026-05-28 22:10,Scripted Long,7580.5,1,379025,175,0.05,200,0.05,-312.5,-0.08,24825,248.25,27
70,Salida en corto,2026-06-01 04:55,Scripted Long,7612.25,1,379225,-1387.5,-0.37,350,0.09,-1800,-0.47,23437.5,234.38,315
70,Entrada en corto,2026-05-29 01:40,Scripted Short,7584.5,1,379225,-1387.5,-0.37,350,0.09,-1800,-0.47,23437.5,234.38,315
71,Salida en largo,2026-06-01 06:40,Scripted Exit All,7616.75,1,380612.5,225,0.06,275,0.07,-162.5,-0.04,23662.5,236.63,21
71,Entrada en largo,2026-06-01 04:55,Scripted Long,7612.25,1,380612.5,225,0.06,275,0.07,-162.5,-0.04,23662.5,236.63,21
72,Salida en corto,2026-06-01 09:05,Scripted Exit All,7606.5,1,380750,425,0.11,500,0.13,-37.5,-0.01,24087.5,240.88,14
72,Entrada en corto,2026-06-01 07:55,Scripted Short,7615,1,380750,425,0.11,500,0.13,-37.5,-0.01,24087.5,240.88,14
73,Salida en largo,2026-06-02 02:25,Scripted Exit All,7597.75,1,379775,112.5,0.03,175,0.05,-950,-0.25,24200,242.00,89
73,Entrada en largo,2026-06-01 19:00,Scripted Long,7595.5,1,379775,112.5,0.03,175,0.05,-950,-0.25,24200,242.00,89
