Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
1,Salida en largo,2026-03-16 14:20,Scripted Exit All,1.1557,1,144268.75,193.75,0.13,212.5,0.15,-18.75,-0.01,193.75,1.94
1,Entrada en largo,2026-03-16 12:45,Scripted Long,1.15415,1,144268.75,193.75,0.13,212.5,0.15,-18.75,-0.01,193.75,1.94
2,Salida en largo,2026-03-17 09:25,Scripted Exit All,1.15885,1,144637.5,218.75,0.15,281.25,0.19,-137.5,-0.10,412.5,4.13
2,Entrada en largo,2026-03-17 08:10,Scripted Long,1.1571,1,144637.5,218.75,0.15,281.25,0.19,-137.5,-0.10,412.5,4.13
3,Salida en largo,2026-03-17 14:00,Scripted Exit All,1.15895,1,144756.25,112.5,0.08,112.5,0.08,-62.5,-0.04,525,5.25
3,Entrada en largo,2026-03-17 12:20,Scripted Long,1.15805,1,144756.25,112.5,0.08,112.5,0.08,-62.5,-0.04,525,5.25
4,Salida en largo,2026-03-18 01:25,Scripted Exit All,1.1592,1,144881.25,18.75,0.01,50,0.03,-118.75,-0.08,543.75,5.44
4,Entrada en largo,2026-03-17 16:55,Scripted Long,1.15905,1,144881.25,18.75,0.01,50,0.03,-118.75,-0.08,543.75,5.44
5,Salida en corto,2026-03-19 04:10,Scripted Exit All,1.14955,1,143900,206.25,0.14,256.25,0.18,-131.25,-0.09,750,7.50
5,Entrada en corto,2026-03-19 02:35,Scripted Short,1.1512,1,143900,206.25,0.14,256.25,0.18,-131.25,-0.09,750,7.50
6,Salida en largo,2026-03-19 10:00,Scripted Exit All,1.15645,1,144081.25,475,0.33,600,0.42,-206.25,-0.14,1225,12.25
6,Entrada en largo,2026-03-19 08:00,Scripted Long,1.15265,1,144081.25,475,0.33,600,0.42,-206.25,-0.14,1225,12.25
7,Salida en corto,2026-03-20 10:00,Scripted Exit All,1.15875,1,145031.25,187.5,0.13,262.5,0.18,-312.5,-0.22,1412.5,14.12
7,Entrada en corto,2026-03-20 01:35,Scripted Short,1.16025,1,145031.25,187.5,0.13,262.5,0.18,-312.5,-0.22,1412.5,14.12
8,Salida en corto,2026-03-23 05:45,Scripted Exit All,1.1545,1,144668.75,356.25,0.25,368.75,0.25,-225,-0.16,1768.75,17.69
8,Entrada en corto,2026-03-23 04:00,Scripted Short,1.15735,1,144668.75,356.25,0.25,368.75,0.25,-225,-0.16,1768.75,17.69
9,Salida en largo,2026-03-23 10:05,Scripted Exit All,1.1648,1,145262.5,337.5,0.23,512.5,0.35,-618.75,-0.43,2106.25,21.06
9,Entrada en largo,2026-03-23 07:10,Scripted Long,1.1621,1,145262.5,337.5,0.23,512.5,0.35,-618.75,-0.43,2106.25,21.06
10,Salida en corto,2026-03-24 09:45,Scripted Exit All,1.1615,1,145337.5,150,0.10,181.25,0.12,-450,-0.31,2256.25,22.56
10,Entrada en corto,2026-03-24 02:15,Scripted Short,1.1627,1,145337.5,150,0.10,181.25,0.12,-450,-0.31,2256.25,22.56
11,Salida en largo,2026-03-25 20:35,Scripted Short,1.1601,1,145581.25,-568.75,-0.39,193.75,0.13,-600,-0.41,1687.5,16.88
11,Entrada en largo,2026-03-25 04:10,Scripted Long,1.16465,1,145581.25,-568.75,-0.39,193.75,0.13,-600,-0.41,1687.5,16.88
12,Salida en corto,2026-03-26 02:25,Scripted Exit All,1.15985,1,145012.5,31.25,0.02,62.5,0.04,-175,-0.12,1718.75,17.19
12,Entrada en corto,2026-03-25 20:35,Scripted Short,1.1601,1,145012.5,31.25,0.02,62.5,0.04,-175,-0.12,1718.75,17.19
13,Salida en corto,2026-03-27 03:20,Scripted Exit All,1.15705,1,144750,118.75,0.08,125,0.09,-12.5,-0.01,1837.5,18.38
13,Entrada en corto,2026-03-27 02:35,Scripted Short,1.158,1,144750,118.75,0.08,125,0.09,-12.5,-0.01,1837.5,18.38
14,Salida en corto,2026-03-31 07:10,Scripted Exit All,1.14995,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,1912.5,19.13
14,Entrada en corto,2026-03-31 03:20,Scripted Short,1.15055,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,1912.5,19.13
15,Salida en largo,2026-03-31 20:10,Scripted Exit All,1.16105,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,2031.25,20.31
15,Entrada en largo,2026-03-31 19:20,Scripted Long,1.1601,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,2031.25,20.31
16,Salida en largo,2026-04-01 01:30,Scripted Exit All,1.1611,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,2150,21.50
16,Entrada en largo,2026-04-01 00:45,Scripted Long,1.16015,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,2150,21.50
17,Salida en largo,2026-04-01 04:30,Scripted Exit All,1.16385,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,2418.75,24.19
17,Entrada en largo,2026-04-01 02:25,Scripted Long,1.1617,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,2418.75,24.19
18,Salida en largo,2026-04-01 07:55,Scripted Exit All,1.1645,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,2543.75,25.44
18,Entrada en largo,2026-04-01 06:20,Scripted Long,1.1635,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,2543.75,25.44
19,Salida en largo,2026-04-01 11:05,Scripted Exit All,1.16605,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,2643.75,26.44
19,Entrada en largo,2026-04-01 08:45,Scripted Long,1.16525,1,145656.25,100,0.07,168.75,0.12,-193.75,-0.13,2643.75,26.44
