Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
134,Salida en largo,2026-06-30 10:00,Scripted Exit All,7526.75,1,375075,1262.5,0.34,1325,0.35,-112.5,-0.03,35100,351.00,4
134,Entrada en largo,2026-06-30 09:40,Scripted Long,7501.5,1,375075,1262.5,0.34,1325,0.35,-112.5,-0.03,35100,351.00,4
135,Salida en corto,2026-06-30 18:10,Scripted Long,7547,1,376050,-1300,-0.35,212.5,0.06,-2337.5,-0.62,33800,338.00,75
135,Entrada en corto,2026-06-30 10:55,Scripted Short,7521,1,376050,-1300,-0.35,212.5,0.06,-2337.5,-0.62,33800,338.00,75
136,Salida en largo,2026-07-01 11:20,Scripted Exit All,7568.75,1,377350,1087.5,0.29,1175,0.31,-2062.5,-0.55,34887.5,348.88,206
136,Entrada en largo,2026-06-30 18:10,Scripted Long,7547,1,377350,1087.5,0.29,1175,0.31,-2062.5,-0.55,34887.5,348.88,206
137,Salida en largo,2026-07-02 06:05,Scripted Short,7532.5,1,377425,-800,-0.21,325,0.09,-1412.5,-0.37,34087.5,340.88,61
137,Entrada en largo,2026-07-02 01:00,Scripted Long,7548.5,1,377425,-800,-0.21,325,0.09,-1412.5,-0.37,34087.5,340.88,61
138,Salida en corto,2026-07-02 12:05,Scripted Exit All,7523.5,1,376625,450,0.12,775,0.21,-3062.5,-0.81,34537.5,345.38,72
138,Entrada en corto,2026-07-02 06:05,Scripted Short,7532.5,1,376625,450,0.12,775,0.21,-3062.5,-0.81,34537.5,345.38,72
139,Salida en largo,2026-07-03 09:50,Scripted Short,7550,1,377600,-100,-0.03,362.5,0.10,-275,-0.07,34437.5,344.38,49
139,Entrada en largo,2026-07-03 05:45,Scripted Long,7552,1,377600,-100,-0.03,362.5,0.10,-275,-0.07,34437.5,344.38,49
140,Salida en corto,2026-07-05 23:45,Scripted Exit All,7541.75,1,377500,412.5,0.11,475,0.13,-1212.5,-0.32,34850,348.50,107
140,Entrada en corto,2026-07-03 09:50,Scripted Short,7550,1,377500,412.5,0.11,475,0.13,-1212.5,-0.32,34850,348.50,107
141,Salida en largo,2026-07-07 22:05,Scripted Short,7550,1,379487.5,-1987.5,-0.52,262.5,0.07,-3012.5,-0.79,32862.5,328.63,297
141,Entrada en largo,2026-07-06 20:20,Scripted Long,7589.75,1,379487.5,-1987.5,-0.52,262.5,0.07,-3012.5,-0.79,32862.5,328.63,297
142,Salida en corto,2026-07-08 01:45,Scripted Exit All,7544.25,1,377500,287.5,0.08,362.5,0.10,-575,-0.15,33150,331.50,44
142,Entrada en corto,2026-07-07 22:05,Scripted Short,7550,1,377500,287.5,0.08,362.5,0.10,-575,-0.15,33150,331.50,44
143,Salida en largo,2026-07-08 13:00,Scripted Exit All,7522,1,374887.5,1212.5,0.32,1250,0.33,-162.5,-0.04,34362.5,343.63,9
143,Entrada en largo,2026-07-08 12:15,Scripted Long,7497.75,1,374887.5,1212.5,0.32,1250,0.33,-162.5,-0.04,34362.5,343.63,9
144,Salida en corto,2026-07-09 21:00,Scripted Long,7580.75,1,375950,-3087.5,-0.82,550,0.15,-3800,-1.01,31275,312.75,350
144,Entrada en corto,2026-07-08 13:50,Scripted Short,7519,1,375950,-3087.5,-0.82,550,0.15,-3800,-1.01,31275,312.75,350
145,Salida en largo,2026-07-09 23:00,Scripted Exit All,7586.25,1,379037.5,275,0.07,287.5,0.08,-237.5,-0.06,31550,315.50,24
145,Entrada en largo,2026-07-09 21:00,Scripted Long,7580.75,1,379037.5,275,0.07,287.5,0.08,-237.5,-0.06,31550,315.50,24
146,Salida en corto,2026-07-10 00:50,Scripted Exit All,7579.5,1,379200,225,0.06,225,0.06,-37.5,-0.01,31775,317.75,17
146,Entrada en corto,2026-07-09 23:25,Scripted Short,7584,1,379200,225,0.06,225,0.06,-37.5,-0.01,31775,317.75,17
