Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
9,Entrada en largo,2026-03-19 08:00,Scripted Long,1.15265,1,144081.25,475,0.33,600,0.42,-206.25,-0.14,-331.25,-3.31,24
10,Salida en corto,2026-03-20 10:00,Scripted Exit All,1.15875,1,145031.25,187.5,0.13,262.5,0.18,-312.5,-0.22,-143.75,-1.44,101
10,Entrada en corto,2026-03-20 01:35,Scripted Short,1.16025,1,145031.25,187.5,0.13,262.5,0.18,-312.5,-0.22,-143.75,-1.44,101
11,Salida en corto,2026-03-23 05:45,Scripted Exit All,1.1545,1,144668.75,356.25,0.25,368.75,0.25,-225,-0.16,212.5,2.13,21
11,Entrada en corto,2026-03-23 04:00,Scripted Short,1.15735,1,144668.75,356.25,0.25,368.75,0.25,-225,-0.16,212.5,2.13,21
12,Salida en largo,2026-03-23 10:05,Scripted Exit All,1.1648,1,145262.5,337.5,0.23,512.5,0.35,-618.75,-0.43,550,5.50,35
12,Entrada en largo,2026-03-23 07:10,Scripted Long,1.1621,1,145262.5,337.5,0.23,512.5,0.35,-618.75,-0.43,550,5.50,35
13,Salida en corto,2026-03-24 09:45,Scripted Exit All,1.1615,1,145337.5,150,0.10,181.25,0.12,-450,-0.31,700,7.00,90
13,Entrada en corto,2026-03-24 02:15,Scripted Short,1.1627,1,145337.5,150,0.10,181.25,0.12,-450,-0.31,700,7.00,90
14,Salida en largo,2026-03-25 20:35,Scripted Short,1.1601,1,145581.25,-568.75,-0.39,193.75,0.13,-600,-0.41,131.25,1.31,185
14,Entrada en largo,2026-03-25 04:10,Scripted Long,1.16465,1,145581.25,-568.75,-0.39,193.75,0.13,-600,-0.41,131.25,1.31,185
15,Salida en corto,2026-03-26 02:25,Scripted Exit All,1.15985,1,145012.5,31.25,0.02,62.5,0.04,-175,-0.12,162.5,1.63,70
15,Entrada en corto,2026-03-25 20:35,Scripted Short,1.1601,1,145012.5,31.25,0.02,62.5,0.04,-175,-0.12,162.5,1.63,70
