Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
52,Entrada en corto,2026-06-05 15:55,Scripted Short,0.0062465,1,78081.25,43.75,0.06,68.75,0.09,-12.5,-0.02,2431.25,24.31,13
53,Salida en corto,2026-06-09 12:50,Scripted Exit All,0.006237,1,78012.5,50,0.06,68.75,0.09,-237.5,-0.30,2481.25,24.81,400
53,Entrada en corto,2026-06-08 02:30,Scripted Short,0.006241,1,78012.5,50,0.06,68.75,0.09,-237.5,-0.30,2481.25,24.81,400
54,Salida en corto,2026-06-10 16:45,Scripted Exit All,0.006231,1,77950,62.5,0.08,68.75,0.09,-43.75,-0.06,2543.75,25.44,93
54,Entrada en corto,2026-06-10 09:00,Scripted Short,0.006236,1,77950,62.5,0.08,68.75,0.09,-43.75,-0.06,2543.75,25.44,93
55,Salida en corto,2026-06-10 23:20,Scripted Exit All,0.00623,1,77900,25,0.03,25,0.03,-6.25,-0.01,2568.75,25.69,16
55,Entrada en corto,2026-06-10 22:00,Scripted Short,0.006232,1,77900,25,0.03,25,0.03,-6.25,-0.01,2568.75,25.69,16
56,Salida en corto,2026-06-15 04:15,Scripted Exit All,0.0062895,1,78650,31.25,0.04,37.5,0.05,-12.5,-0.02,2600,26.00,25
56,Entrada en corto,2026-06-15 02:10,Scripted Short,0.006292,1,78650,31.25,0.04,37.5,0.05,-12.5,-0.02,2600,26.00,25
57,Salida en corto,2026-06-15 12:40,Scripted Exit All,0.0062855,1,78618.75,50,0.06,50,0.06,-6.25,-0.01,2650,26.50,20
57,Entrada en corto,2026-06-15 11:00,Scripted Short,0.0062895,1,78618.75,50,0.06,50,0.06,-6.25,-0.01,2650,26.50,20
58,Salida en corto,2026-06-16 00:35,Scripted Exit All,0.0062815,1,78568.75,50,0.06,62.5,0.08,-93.75,-0.12,2700,27.00,44
58,Entrada en corto,2026-06-15 20:55,Scripted Short,0.0062855,1,78568.75,50,0.06,62.5,0.08,-93.75,-0.12,2700,27.00,44
59,Salida en corto,2026-06-18 06:05,Scripted Exit All,0.006261,1,78350,87.5,0.11,100,0.13,-87.5,-0.11,2787.5,27.88,117
59,Entrada en corto,2026-06-17 20:20,Scripted Short,0.006268,1,78350,87.5,0.11,100,0.13,-87.5,-0.11,2787.5,27.88,117
60,Salida en corto,2026-06-21 18:20,Scripted Exit All,0.006237,1,78056.25,93.75,0.12,106.25,0.14,-50,-0.06,2881.25,28.81,48
60,Entrada en corto,2026-06-19 09:20,Scripted Short,0.0062445,1,78056.25,93.75,0.12,106.25,0.14,-50,-0.06,2881.25,28.81,48
61,Salida en corto,2026-06-23 01:15,Scripted Exit All,0.006229,1,77968.75,106.25,0.14,131.25,0.17,-25,-0.03,2987.5,29.88,153
61,Entrada en corto,2026-06-22 11:30,Scripted Short,0.0062375,1,77968.75,106.25,0.14,131.25,0.17,-25,-0.03,2987.5,29.88,153
62,Salida en corto,2026-06-23 20:30,Scripted Exit All,0.006229,1,77875,12.5,0.02,18.75,0.02,-18.75,-0.02,3000,30.00,42
62,Entrada en corto,2026-06-23 16:00,Scripted Short,0.00623,1,77875,12.5,0.02,18.75,0.02,-18.75,-0.02,3000,30.00,42
63,Salida en corto,2026-06-24 01:45,Scripted Exit All,0.006229,1,77868.75,6.25,0.01,12.5,0.02,-25,-0.03,3006.25,30.06,30
63,Entrada en corto,2026-06-23 23:15,Scripted Short,0.0062295,1,77868.75,6.25,0.01,12.5,0.02,-25,-0.03,3006.25,30.06,30
64,Salida en corto,2026-06-24 08:55,Scripted Exit All,0.006224,1,77825,25,0.03,31.25,0.04,0,0.00,3031.25,30.31,6
64,Entrada en corto,2026-06-24 08:25,Scripted Short,0.006226,1,77825,25,0.03,31.25,0.04,0,0.00,3031.25,30.31,6
65,Salida en corto,2026-06-25 00:35,Scripted Exit All,0.0062225,1,77787.5,6.25,0.01,12.5,0.02,-25,-0.03,3037.5,30.38,33
65,Entrada en corto,2026-06-24 21:50,Scripted Short,0.006223,1,77787.5,6.25,0.01,12.5,0.02,-25,-0.03,3037.5,30.38,33
66,Salida en corto,2026-06-28 18:40,Scripted Exit All,0.006218,1,77768.75,43.75,0.06,131.25,0.17,-106.25,-0.14,3081.25,30.81,363
66,Entrada en corto,2026-06-25 10:25,Scripted Short,0.0062215,1,77768.75,43.75,0.06,131.25,0.17,-106.25,-0.14,3081.25,30.81,363
67,Salida en corto,2026-07-01 13:55,Scripted Exit All,0.00619,1,77412.5,37.5,0.05,50,0.06,-62.5,-0.08,3118.75,31.19,41
67,Entrada en corto,2026-07-01 10:30,Scripted Short,0.006193,1,77412.5,37.5,0.05,50,0.06,-62.5,-0.08,3118.75,31.19,41
68,Salida en corto,2026-07-03 09:15,Scripted Exit All,0.006236,1,77987.5,37.5,0.05,43.75,0.06,-337.5,-0.43,3156.25,31.56,139
68,Entrada en corto,2026-07-02 21:40,Scripted Short,0.006239,1,77987.5,37.5,0.05,43.75,0.06,-337.5,-0.43,3156.25,31.56,139
69,Salida en corto,2026-07-07 15:45,Scripted Exit All,0.0062045,1,77643.75,87.5,0.11,125,0.16,-37.5,-0.05,3243.75,32.44,80
69,Entrada en corto,2026-07-07 09:05,Scripted Short,0.0062115,1,77643.75,87.5,0.11,125,0.16,-37.5,-0.05,3243.75,32.44,80
70,Salida en corto,2026-07-08 04:20,Scripted Exit All,0.006191,1,77400,12.5,0.02,75,0.10,-143.75,-0.19,3256.25,32.56,48
70,Entrada en corto,2026-07-08 00:20,Scripted Short,0.006192,1,77400,12.5,0.02,75,0.10,-143.75,-0.19,3256.25,32.56,48
71,Salida en corto,2026-07-08 18:05,Scripted Exit All,0.006182,1,77331.25,56.25,0.07,56.25,0.07,-43.75,-0.06,3312.5,33.13,40
71,Entrada en corto,2026-07-08 13:45,Scripted Short,0.0061865,1,77331.25,56.25,0.07,56.25,0.07,-43.75,-0.06,3312.5,33.13,40
72,Salida en corto,2026-07-13 13:45,Scripted Exit All,0.0061865,1,77350,18.75,0.02,62.5,0.08,-550,-0.71,3331.25,33.31,756
72,Entrada en corto,2026-07-08 20:45,Scripted Short,0.006188,1,77350,18.75,0.02,62.5,0.08,-550,-0.71,3331.25,33.31,756
73,Salida en corto,2026-07-15 04:20,Scripted Exit All,0.0061905,1,77425,43.75,0.06,62.5,0.08,-312.5,-0.40,3375,33.75,247
73,Entrada en corto,2026-07-14 06:45,Scripted Short,0.006194,1,77425,43.75,0.06,62.5,0.08,-312.5,-0.40,3375,33.75,247
74,Salida en corto,2026-07-16 09:05,Scripted Exit All,0.006189,1,77425,62.5,0.08,75,0.10,-162.5,-0.21,3437.5,34.38,274
74,Entrada en corto,2026-07-15 09:15,Scripted Short,0.006194,1,77425,62.5,0.08,75,0.10,-162.5,-0.21,3437.5,34.38,274
75,Salida en corto,2026-07-16 21:15,Scripted Exit All,0.0061835,1,77306.25,12.5,0.02,18.75,0.02,-50,-0.06,3450,34.50,58
75,Entrada en corto,2026-07-16 15:25,Scripted Short,0.0061845,1,77306.25,12.5,0.02,18.75,0.02,-50,-0.06,3450,34.50,58
76,Salida en corto,2026-07-17 04:15,Scripted Exit All,0.006186,1,77387.5,62.5,0.08,68.75,0.09,-12.5,-0.02,3512.5,35.13,6
76,Entrada en corto,2026-07-17 03:45,Scripted Short,0.006191,1,77387.5,62.5,0.08,68.75,0.09,-12.5,-0.02,3512.5,35.13,6
77,Salida en corto,2026-07-17 12:40,Scripted Exit All,0.006182,1,77325,50,0.06,62.5,0.08,-25,-0.03,3562.5,35.63,49
77,Entrada en corto,2026-07-17 08:35,Scripted Short,0.006186,1,77325,50,0.06,62.5,0.08,-25,-0.03,3562.5,35.63,49
78,Salida en corto,2026-07-17 16:55,Apertura,0.0061855,1,77300,-18.75,-0.02,6.25,0.01,-31.25,-0.04,3543.75,35.44,5
78,Entrada en corto,2026-07-17 16:30,Scripted Short,0.006184,1,77300,-18.75,-0.02,6.25,0.01,-31.25,-0.04,3543.75,35.44,5
