Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
34,Salida en corto,2026-04-27 21:55,Scripted Exit All,1.174,1,146831.25,81.25,0.06,87.5,0.06,-31.25,-0.02,-206.25,-2.06,17
34,Entrada en corto,2026-04-27 20:30,Scripted Short,1.17465,1,146831.25,81.25,0.06,87.5,0.06,-31.25,-0.02,-206.25,-2.06,17
35,Salida en largo,2026-04-29 04:05,Scripted Short,1.17225,1,146800,-268.75,-0.18,0,0.00,-293.75,-0.20,-475,-4.75,96
35,Entrada en largo,2026-04-28 20:05,Scripted Long,1.1744,1,146800,-268.75,-0.18,0,0.00,-293.75,-0.20,-475,-4.75,96
36,Salida en corto,2026-04-29 09:45,Scripted Exit All,1.17115,1,146531.25,137.5,0.09,200,0.14,-143.75,-0.10,-337.5,-3.37,68
36,Entrada en corto,2026-04-29 04:05,Scripted Short,1.17225,1,146531.25,137.5,0.09,200,0.14,-143.75,-0.10,-337.5,-3.37,68
37,Salida en corto,2026-04-29 13:10,Scripted Exit All,1.1705,1,146412.5,100,0.07,112.5,0.08,-118.75,-0.08,-237.5,-2.37,15
37,Entrada en corto,2026-04-29 11:55,Scripted Short,1.1713,1,146412.5,100,0.07,112.5,0.08,-118.75,-0.08,-237.5,-2.37,15
38,Salida en corto,2026-04-29 18:05,Scripted Exit All,1.16955,1,146306.25,112.5,0.08,243.75,0.17,-50,-0.03,-125,-1.25,36
38,Entrada en corto,2026-04-29 14:05,Scripted Short,1.17045,1,146306.25,112.5,0.08,243.75,0.17,-50,-0.03,-125,-1.25,36
39,Salida en largo,2026-04-30 06:55,Scripted Exit All,1.1735,1,146475,212.5,0.15,225,0.15,-68.75,-0.05,87.5,0.88,13
39,Entrada en largo,2026-04-30 05:50,Scripted Long,1.1718,1,146475,212.5,0.15,225,0.15,-68.75,-0.05,87.5,0.88,13
40,Salida en largo,2026-05-01 08:20,Scripted Exit All,1.1788,1,146975,375,0.26,387.5,0.26,-43.75,-0.03,462.5,4.63,66
40,Entrada en largo,2026-05-01 02:50,Scripted Long,1.1758,1,146975,375,0.26,387.5,0.26,-43.75,-0.03,462.5,4.63,66
41,Salida en corto,2026-05-05 00:50,Scripted Exit All,1.17055,1,146368.75,50,0.03,56.25,0.04,-12.5,-0.01,512.5,5.13,22
41,Entrada en corto,2026-05-04 23:00,Scripted Short,1.17095,1,146368.75,50,0.03,56.25,0.04,-12.5,-0.01,512.5,5.13,22
42,Salida en corto,2026-05-05 18:55,Scripted Long,1.17245,1,146287.5,-268.75,-0.18,6.25,0.00,-418.75,-0.29,243.75,2.44,186
42,Entrada en corto,2026-05-05 02:25,Scripted Short,1.1703,1,146287.5,-268.75,-0.18,6.25,0.00,-418.75,-0.29,243.75,2.44,186
43,Salida en largo,2026-05-05 19:20,Scripted Exit All,1.17455,1,146556.25,262.5,0.18,275,0.19,0,0.00,506.25,5.06,5
43,Entrada en largo,2026-05-05 18:55,Scripted Long,1.17245,1,146556.25,262.5,0.18,275,0.19,0,0.00,506.25,5.06,5
44,Salida en largo,2026-05-06 05:35,Scripted Exit All,1.17915,1,146875,518.75,0.35,562.5,0.38,-43.75,-0.03,1025,10.25,61
44,Entrada en largo,2026-05-06 00:30,Scripted Long,1.175,1,146875,518.75,0.35,562.5,0.38,-43.75,-0.03,1025,10.25,61
45,Salida en corto,2026-05-06 19:55,Scripted Exit All,1.17675,1,147118.75,25,0.02,31.25,0.02,-37.5,-0.03,1050,10.50,34
45,Entrada en corto,2026-05-06 16:05,Scripted Short,1.17695,1,147118.75,25,0.02,31.25,0.02,-37.5,-0.03,1050,10.50,34
46,Salida en corto,2026-05-07 14:55,Scripted Exit All,1.1765,1,147081.25,18.75,0.01,137.5,0.09,-400,-0.27,1068.75,10.69,144
46,Entrada en corto,2026-05-07 02:55,Scripted Short,1.17665,1,147081.25,18.75,0.01,137.5,0.09,-400,-0.27,1068.75,10.69,144
47,Salida en corto,2026-05-07 16:45,Scripted Exit All,1.175,1,147006.25,131.25,0.09,137.5,0.09,-100,-0.07,1200,12.00,17
47,Entrada en corto,2026-05-07 15:20,Scripted Short,1.17605,1,147006.25,131.25,0.09,137.5,0.09,-100,-0.07,1200,12.00,17
48,Salida en largo,2026-05-08 15:05,Scripted Exit All,1.18,1,147462.5,37.5,0.03,125,0.08,-137.5,-0.09,1237.5,12.38,78
48,Entrada en largo,2026-05-08 08:35,Scripted Long,1.1797,1,147462.5,37.5,0.03,125,0.08,-137.5,-0.09,1237.5,12.38,78
49,Salida en corto,2026-05-10 23:25,Scripted Exit All,1.1777,1,147250,37.5,0.03,50,0.03,-137.5,-0.09,1275,12.75,64
49,Entrada en corto,2026-05-10 18:05,Scripted Short,1.178,1,147250,37.5,0.03,50,0.03,-137.5,-0.09,1275,12.75,64
50,Salida en largo,2026-05-11 09:55,Scripted Exit All,1.18055,1,147425,143.75,0.10,162.5,0.11,0,0.00,1418.75,14.19,11
50,Entrada en largo,2026-05-11 09:00,Scripted Long,1.1794,1,147425,143.75,0.10,162.5,0.11,0,0.00,1418.75,14.19,11
51,Salida en largo,2026-05-11 18:20,Scripted Exit All,1.1806,1,147493.75,81.25,0.06,87.5,0.06,-6.25,0.00,1500,15.00,11
51,Entrada en largo,2026-05-11 16:25,Scripted Long,1.17995,1,147493.75,81.25,0.06,87.5,0.06,-6.25,0.00,1500,15.00,11
52,Salida en corto,2026-05-12 00:15,Scripted Exit All,1.17745,1,147237.5,56.25,0.04,68.75,0.05,0,0.00,1556.25,15.56,14
52,Entrada en corto,2026-05-11 23:05,Scripted Short,1.1779,1,147237.5,56.25,0.04,68.75,0.05,0,0.00,1556.25,15.56,14
53,Salida en corto,2026-05-12 04:10,Scripted Exit All,1.17625,1,147181.25,150,0.10,156.25,0.11,-156.25,-0.11,1706.25,17.06,36
53,Entrada en corto,2026-05-12 01:10,Scripted Short,1.17745,1,147181.25,150,0.10,156.25,0.11,-156.25,-0.11,1706.25,17.06,36
54,Salida en largo,2026-05-14 08:35,Scripted Short,1.1717,1,146668.75,-206.25,-0.14,56.25,0.04,-231.25,-0.16,1500,15.00,131
54,Entrada en largo,2026-05-13 21:40,Scripted Long,1.17335,1,146668.75,-206.25,-0.14,56.25,0.04,-231.25,-0.16,1500,15.00,131
55,Salida en corto,2026-05-14 09:40,Scripted Exit All,1.1704,1,146462.5,162.5,0.11,168.75,0.12,-12.5,-0.01,1662.5,16.63,13
55,Entrada en corto,2026-05-14 08:35,Scripted Short,1.1717,1,146462.5,162.5,0.11,168.75,0.12,-12.5,-0.01,1662.5,16.63,13
56,Salida en corto,2026-05-14 12:40,Scripted Exit All,1.169,1,146275,150,0.10,193.75,0.13,-31.25,-0.02,1812.5,18.13,21
56,Entrada en corto,2026-05-14 10:55,Scripted Short,1.1702,1,146275,150,0.10,193.75,0.13,-31.25,-0.02,1812.5,18.13,21
57,Salida en largo,2026-05-18 18:05,Scripted Exit All,1.1675,1,145768.75,168.75,0.12,193.75,0.13,-225,-0.15,1981.25,19.81,113
57,Entrada en largo,2026-05-18 07:40,Scripted Long,1.16615,1,145768.75,168.75,0.12,193.75,0.13,-225,-0.15,1981.25,19.81,113
58,Salida en corto,2026-05-19 04:25,Scripted Exit All,1.1643,1,145650,112.5,0.08,137.5,0.09,-25,-0.02,2093.75,20.94,19
58,Entrada en corto,2026-05-19 02:50,Scripted Short,1.1652,1,145650,112.5,0.08,137.5,0.09,-25,-0.02,2093.75,20.94,19
59,Salida en corto,2026-05-19 09:35,Scripted Exit All,1.16185,1,145343.75,112.5,0.08,137.5,0.09,-137.5,-0.09,2206.25,22.06,34
59,Entrada en corto,2026-05-19 06:45,Scripted Short,1.16275,1,145343.75,112.5,0.08,137.5,0.09,-137.5,-0.09,2206.25,22.06,34
60,Salida en corto,2026-05-19 11:10,Scripted Exit All,1.1609,1,145243.75,131.25,0.09,156.25,0.11,-18.75,-0.01,2337.5,23.38,11
60,Entrada en corto,2026-05-19 10:15,Scripted Short,1.16195,1,145243.75,131.25,0.09,156.25,0.11,-18.75,-0.01,2337.5,23.38,11
61,Salida en corto,2026-05-20 10:00,Scripted Exit All,1.1605,1,145118.75,56.25,0.04,150,0.10,-137.5,-0.09,2393.75,23.94,136
61,Entrada en corto,2026-05-19 22:40,Scripted Short,1.16095,1,145118.75,56.25,0.04,150,0.10,-137.5,-0.09,2393.75,23.94,136
62,Salida en largo,2026-05-20 14:25,Scripted Exit All,1.16395,1,145356.25,137.5,0.09,387.5,0.27,-87.5,-0.06,2531.25,25.31,49
62,Entrada en largo,2026-05-20 10:20,Scripted Long,1.16285,1,145356.25,137.5,0.09,387.5,0.27,-87.5,-0.06,2531.25,25.31,49
