Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
19,Salida en largo,2026-05-08 01:45,Scripted Exit All,7383.5,1,368937.5,237.5,0.06,337.5,0.09,-262.5,-0.07,-250,-2.50,35
19,Entrada en largo,2026-05-07 22:50,Scripted Long,7378.75,1,368937.5,237.5,0.06,337.5,0.09,-262.5,-0.07,-250,-2.50,35
20,Salida en largo,2026-05-10 23:45,Scripted Exit All,7414.75,1,370475,262.5,0.07,300,0.08,-187.5,-0.05,12.5,0.13,29
20,Entrada en largo,2026-05-10 21:20,Scripted Long,7409.5,1,370475,262.5,0.07,300,0.08,-187.5,-0.05,12.5,0.13,29
21,Salida en largo,2026-05-12 16:00,Scripted Exit All,7428,1,370550,850,0.23,1137.5,0.31,-2387.5,-0.64,862.5,8.63,100
21,Entrada en largo,2026-05-12 07:40,Scripted Long,7411,1,370550,850,0.23,1137.5,0.31,-2387.5,-0.64,862.5,8.63,100
22,Salida en largo,2026-05-15 09:40,Scripted Short,7432.25,1,376275,-4662.5,-1.24,50,0.01,-4787.5,-1.27,-3800,-38.00,160
22,Entrada en largo,2026-05-14 20:20,Scripted Long,7525.5,1,376275,-4662.5,-1.24,50,0.01,-4787.5,-1.27,-3800,-38.00,160
23,Salida en corto,2026-05-15 16:45,Scripted Exit All,7417,1,371612.5,762.5,0.21,1150,0.31,-2175,-0.59,-3037.5,-30.38,85
23,Entrada en corto,2026-05-15 09:40,Scripted Short,7432.25,1,371612.5,762.5,0.21,1150,0.31,-2175,-0.59,-3037.5,-30.38,85
24,Salida en largo,2026-05-21 00:55,Scripted Exit All,7450.75,1,372462.5,75,0.02,437.5,0.12,-4750,-1.28,-2962.5,-29.62,720
24,Entrada en largo,2026-05-18 09:55,Scripted Long,7449.25,1,372462.5,75,0.02,437.5,0.12,-4750,-1.28,-2962.5,-29.62,720
25,Salida en largo,2026-05-28 12:25,Scripted Exit All,7580.5,1,378150,875,0.23,987.5,0.26,-2862.5,-0.76,-2087.5,-20.87,814
25,Entrada en largo,2026-05-25 09:35,Scripted Long,7563,1,378150,875,0.23,987.5,0.26,-2862.5,-0.76,-2087.5,-20.87,814
26,Salida en largo,2026-06-04 03:00,Scripted Exit All,7552.75,1,377237.5,400,0.11,412.5,0.11,-262.5,-0.07,-1687.5,-16.87,15
26,Entrada en largo,2026-06-04 01:45,Scripted Long,7544.75,1,377237.5,400,0.11,412.5,0.11,-262.5,-0.07,-1687.5,-16.87,15
27,Salida en corto,2026-06-10 01:00,Scripted Exit All,7358,1,368575,675,0.18,775,0.21,-925,-0.25,-1012.5,-10.12,53
27,Entrada en corto,2026-06-09 20:35,Scripted Short,7371.5,1,368575,675,0.18,775,0.21,-925,-0.25,-1012.5,-10.12,53
28,Salida en largo,2026-06-11 15:20,Scripted Exit All,7393.75,1,367262.5,2425,0.66,2462.5,0.67,-162.5,-0.04,1412.5,14.12,22
28,Entrada en largo,2026-06-11 13:30,Scripted Long,7345.25,1,367262.5,2425,0.66,2462.5,0.67,-162.5,-0.04,1412.5,14.12,22
29,Salida en corto,2026-06-16 11:50,Scripted Exit All,7604.25,1,380812.5,600,0.16,862.5,0.23,-1025,-0.27,2012.5,20.13,123
29,Entrada en corto,2026-06-16 01:35,Scripted Short,7616.25,1,380812.5,600,0.16,862.5,0.23,-1025,-0.27,2012.5,20.13,123
30,Salida en largo,2026-06-18 09:40,Scripted Short,7544,1,379900,-2700,-0.71,312.5,0.08,-6287.5,-1.66,-687.5,-6.88,275
30,Entrada en largo,2026-06-17 09:45,Scripted Long,7598,1,379900,-2700,-0.71,312.5,0.08,-6287.5,-1.66,-687.5,-6.88,275
31,Salida en corto,2026-06-18 22:20,Scripted Exit All,7542.5,1,377200,75,0.02,425,0.11,-1950,-0.52,-612.5,-6.12,140
31,Entrada en corto,2026-06-18 09:40,Scripted Short,7544,1,377200,75,0.02,425,0.11,-1950,-0.52,-612.5,-6.12,140
32,Salida en corto,2026-06-22 11:20,Scripted Exit All,7537.75,1,377887.5,1000,0.26,1525,0.40,-2075,-0.55,387.5,3.88,56
32,Entrada en corto,2026-06-22 06:40,Scripted Short,7557.75,1,377887.5,1000,0.26,1525,0.40,-2075,-0.55,387.5,3.88,56
